post,account,date,year,n_char,n_words
p_dr_med_mareike_awe_050722.txt,p_dr_med_mareike_awe,050722,22,543,71
p_marenkissing_160221.txt,p_marenkissing,160221,21,287,35
p_marenkissing_270920.txt,p_marenkissing,270920,20,783,114
p_noch_so_eine_die_abnimmt_250822.txt,p_noch_so_eine_die_abnimmt,250822,22,1028,146
p_ninabotzen_181220.txt,p_ninabotzen,181220,20,1838,291
p_noch_so_eine_die_abnimmt_031121.txt,p_noch_so_eine_die_abnimmt,031121,21,2069,329
p_ninabotzen_010920.txt,p_ninabotzen,010920,20,2192,368
p_endlich_zufrieden_020322.txt,p_endlich_zufrieden,020322,22,309,38
p_endlich_zufrieden_120322.txt,p_endlich_zufrieden,120322,22,263,30
p_noch_so_eine_die_abnimmt_261021.txt,p_noch_so_eine_die_abnimmt,261021,21,2169,328
p_random_mentalist_160622.txt,p_random_mentalist,160622,22,695,96
p_ms_wunderbar_060321.txt,p_ms_wunderbar,060321,21,133,16
p_luluandherselflove_161020.txt,p_luluandherselflove,161020,20,87,17
p_anjazeidler_050820.txt,p_anjazeidler,050820,20,709,93
p_marenkissing_230321.txt,p_marenkissing,230321,21,728,109
p_swisskatharina_110520.txt,p_swisskatharina,110520,20,833,104
p_jenny_lambrecht_291020.txt,p_jenny_lambrecht,291020,20,444,61
p_endlich_zufrieden_051120.txt,p_endlich_zufrieden,051120,20,496,58
p_pippspiration_010720.txt,p_pippspiration,010720,20,1401,206
p_milenka_emilia_220622.txt,p_milenka_emilia,220622,22,1263,196
p_sarahuvm_250521.txt,p_sarahuvm,250521,21,598,85
p_endlich_zufrieden_030722.txt,p_endlich_zufrieden,030722,22,548,83
p_dr_med_mareike_awe_200421.txt,p_dr_med_mareike_awe,200421,21,821,110
p_random_mentalist_290622.txt,p_random_mentalist,290622,22,1150,177
p_melodie_michelberger_300121.txt,p_melodie_michelberger,300121,21,851,140
p_random_mentalist_031120.txt,p_random_mentalist,031120,20,1453,213
p_luluandherselflove_151121.txt,p_luluandherselflove,151121,21,826,108
p_melodie_michelberger_170522.txt,p_melodie_michelberger,170522,22,1204,195
p_hannahmaylou_170720.txt,p_hannahmaylou,170720,20,766,129
p_ninabotzen_150320.txt,p_ninabotzen,150320,20,601,89
p_luluandherselflove_130722.txt,p_luluandherselflove,130722,22,459,75
p_hannahmaylou_140620.txt,p_hannahmaylou,140620,20,1531,248
p_dariadaria_240520.txt,p_dariadaria,240520,20,16,4
p_dr_med_mareike_awe_010922.txt,p_dr_med_mareike_awe,010922,22,181,21
p_dr_med_mareike_awe_150321.txt,p_dr_med_mareike_awe,150321,21,1792,263
p_random_mentalist_040722.txt,p_random_mentalist,040722,22,883,122
p_orchidea_luna_310322.txt,p_orchidea_luna,310322,22,211,17
p_luluandherselflove_170921.txt,p_luluandherselflove,170921,21,1182,169
p_luluandherselflove_250122.txt,p_luluandherselflove,250122,22,797,123
p_endlich_zufrieden_071020.txt,p_endlich_zufrieden,071020,20,1033,134
p_pippspiration_260520.txt,p_pippspiration,260520,20,358,50
p_noch_so_eine_die_abnimmt_010922.txt,p_noch_so_eine_die_abnimmt,010922,22,938,96
p_wellshesassy_290220.txt,p_wellshesassy,290220,20,305,38
p_endlich_zufrieden_270422.txt,p_endlich_zufrieden,270422,22,992,156
p_jesswayoflife_070522.txt,p_jesswayoflife,070522,22,1200,190
p_dr_med_mareike_awe_210421.txt,p_dr_med_mareike_awe,210421,21,1310,182
p_endlich_zufrieden_020722.txt,p_endlich_zufrieden,020722,22,146,20
p_hannahmaylou_040221.txt,p_hannahmaylou,040221,21,406,62
p_nathaliemoves_241120.txt,p_nathaliemoves,241120,20,1576,249
p_sinem_coaching_250422.txt,p_sinem_coaching,250422,22,1615,199
p_anjazeidler_180620.txt,p_anjazeidler,180620,20,694,96
p_dr_med_mareike_awe_280422.txt,p_dr_med_mareike_awe,280422,22,507,61
p_dosmith_111120.txt,p_dosmith,111120,20,1417,193
p_luluandherselflove_240522.txt,p_luluandherselflove,240522,22,837,144
p_jenny_lambrecht_071220.txt,p_jenny_lambrecht,071220,20,808,97
p_michelle_chaosnasen_071220.txt,p_michelle_chaosnasen,071220,20,1099,167
p_anjazeidler_221120.txt,p_anjazeidler,221120,20,1748,249
p_pippspiration_051020.txt,p_pippspiration,051020,20,847,116
p_ms_wunderbar_050421.txt,p_ms_wunderbar,050421,21,250,36
p_sincerelyjaane_260920.txt,p_sincerelyjaane,260920,20,1960,260
p_charlotte_weise_310520.txt,p_charlotte_weise,310520,20,557,77
p_ninabotzen_101020.txt,p_ninabotzen,101020,20,540,93
p_luluandherselflove_080622.txt,p_luluandherselflove,080622,22,835,129
p_marenkissing_070221.txt,p_marenkissing,070221,21,626,85
p_anjazeidler_120720.txt,p_anjazeidler,120720,20,687,130
